,O_Create Offer,O_Created,O_Sent (online only),O_Cancelled,O_Sent (mail and online),O_Returned,O_Accepted,O_Refused
Offer_247135719,1,1,1,1,1,1,0,1
Offer_941964966,1,1,1,1,1,1,0,1
Offer_1148420274,1,1,1,1,1,1,0,1
Offer_1365106765,1,1,1,1,1,1,0,1
Offer_1207095934,1,1,0,1,1,1,1,1
Offer_1015515944,1,1,0,1,1,1,1,1
Offer_1669071500,1,1,0,1,1,1,1,1
Offer_1209840642,1,1,0,1,1,1,1,1
Offer_997411923,1,1,0,1,1,1,1,1
Offer_148581083,1,1,0,1,1,1,1,1
Offer_607758096,1,1,0,1,1,1,1,1
Offer_213805292,1,1,0,1,1,1,1,1
Offer_1215355195,1,1,0,0,1,1,1,0
Offer_1236377933,1,1,0,0,1,1,1,0
Offer_1560716493,1,1,0,0,1,1,1,0
Offer_868206108,1,1,0,0,1,1,1,0
Offer_467024374,1,1,0,0,1,1,1,0
Offer_117620760,1,1,0,1,1,1,1,1
Offer_1183140970,1,1,0,1,1,1,1,1
Offer_1534843733,1,1,0,1,1,1,1,1
Offer_1750007091,1,1,0,1,1,1,1,1
Offer_106103074,1,1,0,0,1,1,1,0
Offer_243419316,1,1,0,0,1,1,1,0
Offer_829153695,1,1,0,0,1,1,1,0
Offer_1047899891,1,1,0,0,1,1,1,0
Offer_833160233,1,1,0,0,1,1,1,0
Offer_685676472,1,1,0,0,1,1,1,0
Offer_933028395,1,1,0,0,1,1,1,0
Offer_608733999,1,1,0,0,1,1,1,0
Offer_213718197,1,1,0,0,1,1,1,0
Offer_108214080,1,1,0,1,1,1,1,1
Offer_1967986467,1,1,0,1,1,1,1,1
Offer_1685918507,1,1,0,1,1,1,1,1
Offer_1335997058,1,1,0,1,1,1,1,1
Offer_1084399342,1,1,0,0,1,1,1,0
Offer_792838244,1,1,0,0,1,1,1,0
Offer_603196958,1,1,0,0,1,1,1,0
Offer_866744603,1,1,0,0,1,1,1,0
Offer_476537784,1,1,0,0,1,1,1,0
Offer_1690361215,1,1,0,0,1,1,1,0
Offer_1346286187,1,1,0,0,1,1,1,0
Offer_2134161297,1,1,0,0,1,1,1,0
Offer_2004924770,1,1,0,0,1,1,1,0
Offer_2100546231,1,1,0,0,1,1,1,0
Offer_1373030331,1,1,0,1,1,1,1,1
Offer_1562601661,1,1,0,1,1,1,1,1
Offer_1026878545,1,1,0,1,1,1,1,1
Offer_1713418619,1,1,0,1,1,1,1,1
Offer_1658433857,1,1,0,1,1,1,1,1
Offer_207015621,1,1,0,1,1,1,1,1
Offer_829342969,1,1,0,1,1,1,1,1
Offer_1383197782,1,1,0,1,1,1,1,1
Offer_1562802810,1,1,0,1,1,1,0,1
Offer_1959589862,1,1,0,1,1,1,0,1
Offer_1711038072,1,1,0,1,1,1,0,1
Offer_1647711220,1,1,0,0,1,1,1,0
Offer_1264698473,1,1,0,0,1,1,1,0
Offer_1525129982,1,1,0,0,1,1,1,0
Offer_1747811596,1,1,0,0,1,1,1,0
Offer_1078348600,1,1,0,0,1,1,1,0
Offer_1301660092,1,1,0,1,1,1,1,1
Offer_818647679,1,1,0,1,1,1,1,1
Offer_30985588,1,1,0,1,1,1,1,1
Offer_102669259,1,1,0,1,1,1,1,1
Offer_684486794,1,1,0,0,1,1,1,0
Offer_750441445,1,1,0,0,1,1,1,0
Offer_17122797,1,1,0,0,1,1,1,0
Offer_240332268,1,1,0,0,1,1,1,0
Offer_682031123,1,1,0,0,1,1,1,0
Offer_1088813920,1,1,0,1,1,1,1,1
Offer_782570089,1,1,0,1,1,1,1,1
Offer_480986136,1,1,0,1,1,1,1,1
Offer_864688635,1,1,0,1,1,1,1,1
Offer_1060307614,1,1,0,1,1,1,1,1
Offer_645753135,1,1,0,0,1,1,1,0
Offer_329727374,1,1,0,0,1,1,1,0
Offer_1124029698,1,1,0,0,1,1,1,0
Offer_942936446,1,1,0,0,1,1,1,0
Offer_1520154683,1,1,0,0,1,1,1,0
Offer_1944743744,1,1,0,0,1,1,1,0
Offer_2016468100,1,1,0,0,1,1,1,0
Offer_1583358802,1,1,0,0,1,1,1,0
Offer_1909754111,1,1,0,0,1,1,1,0
Offer_1769730855,1,1,0,0,1,1,1,0
Offer_1546586848,1,1,0,0,1,1,1,0
Offer_1257962808,1,1,0,0,1,1,1,0
Offer_427046646,1,1,0,0,1,1,1,0
Offer_625228043,1,1,0,0,1,1,1,0
Offer_204685571,1,1,0,0,1,1,1,0
Offer_960229906,1,1,0,1,1,1,1,1
Offer_1284560550,1,1,0,1,1,1,1,1
Offer_1569511625,1,1,0,1,1,1,1,1
Offer_1935259954,1,1,0,1,1,1,1,1
Offer_416560951,1,1,0,1,1,1,0,1
Offer_648594737,1,1,0,1,1,1,0,1
Offer_863002977,1,1,0,1,1,1,0,1
