,caseid,activity,ts,resource,outcome
0,Offer_247135719,O_Create Offer,2016/01/02 18:17:05.720,User_17,True
1,Offer_247135719,O_Created,2016/01/02 18:17:08.762,User_17,True
2,Offer_247135719,O_Sent (online only),2016/01/02 18:19:21.330,User_17,True
3,Offer_247135719,O_Cancelled,2016/01/02 18:21:26.034,User_17,True
4,Offer_941964966,O_Create Offer,2016/01/02 18:21:42.022,User_17,True
5,Offer_941964966,O_Created,2016/01/02 18:21:43.573,User_17,True
6,Offer_941964966,O_Sent (mail and online),2016/01/02 18:22:09.421,User_17,True
7,Offer_941964966,O_Cancelled,2016/02/29 16:01:05.256,User_1,True
8,Offer_1148420274,O_Create Offer,2016/01/02 18:26:43.598,User_17,True
9,Offer_1148420274,O_Created,2016/01/02 18:26:44.925,User_17,True
10,Offer_1148420274,O_Sent (mail and online),2016/01/02 18:26:57.389,User_17,True
11,Offer_1148420274,O_Cancelled,2016/02/29 16:01:05.248,User_1,True
12,Offer_1365106765,O_Create Offer,2016/01/02 18:55:46.369,User_17,True
13,Offer_1365106765,O_Created,2016/01/02 18:55:47.693,User_17,True
14,Offer_1365106765,O_Sent (mail and online),2016/01/02 18:59:50.268,User_17,True
15,Offer_1365106765,O_Returned,2016/01/08 19:00:24.474,User_116,True
16,Offer_1365106765,O_Accepted,2016/01/11 18:42:07.001,User_95,True
17,Offer_1207095934,O_Create Offer,2016/01/02 19:35:08.906,User_17,True
18,Offer_1207095934,O_Created,2016/01/02 19:35:10.063,User_17,True
19,Offer_1207095934,O_Sent (mail and online),2016/01/02 19:37:43.723,User_17,True
20,Offer_1207095934,O_Cancelled,2016/01/27 18:56:56.971,User_29,True
21,Offer_1015515944,O_Create Offer,2016/01/02 19:35:27.467,User_17,True
22,Offer_1015515944,O_Created,2016/01/02 19:35:28.752,User_17,True
23,Offer_1015515944,O_Sent (mail and online),2016/01/02 19:37:43.721,User_17,True
24,Offer_1015515944,O_Returned,2016/01/21 22:36:43.258,User_119,True
25,Offer_1015515944,O_Accepted,2016/01/27 18:56:56.941,User_29,True
26,Offer_1669071500,O_Create Offer,2016/01/02 20:02:38.994,User_38,False
27,Offer_1669071500,O_Created,2016/01/02 20:02:40.442,User_38,False
28,Offer_1669071500,O_Sent (mail and online),2016/01/02 20:03:05.300,User_38,False
29,Offer_1669071500,O_Refused,2016/01/07 22:29:49.710,User_68,False
30,Offer_1209840642,O_Create Offer,2016/01/02 20:05:15.942,User_19,True
31,Offer_1209840642,O_Created,2016/01/02 20:05:17.204,User_19,True
32,Offer_1209840642,O_Sent (mail and online),2016/01/02 20:06:53.268,User_19,True
33,Offer_1209840642,O_Cancelled,2016/01/02 20:26:06.088,User_19,True
34,Offer_997411923,O_Create Offer,2016/01/02 20:25:44.202,User_19,True
35,Offer_997411923,O_Created,2016/01/02 20:25:45.416,User_19,True
36,Offer_997411923,O_Sent (mail and online),2016/01/02 20:26:19.140,User_19,True
37,Offer_997411923,O_Returned,2016/01/13 18:08:14.217,User_116,True
38,Offer_997411923,O_Accepted,2016/01/14 16:00:14.440,User_90,True
39,Offer_148581083,O_Create Offer,2016/01/02 20:29:03.994,User_52,True
40,Offer_148581083,O_Created,2016/01/02 20:29:05.354,User_52,True
41,Offer_148581083,O_Sent (mail and online),2016/01/02 20:30:28.606,User_52,True
42,Offer_148581083,O_Returned,2016/01/13 22:11:03.569,User_117,True
43,Offer_148581083,O_Accepted,2016/01/15 00:49:11.416,User_115,True
44,Offer_607758096,O_Create Offer,2016/01/02 20:42:23.751,User_19,True
45,Offer_607758096,O_Created,2016/01/02 20:42:25.106,User_19,True
46,Offer_607758096,O_Sent (mail and online),2016/01/02 20:43:56.242,User_19,True
47,Offer_607758096,O_Cancelled,2016/02/02 16:00:20.837,User_1,True
48,Offer_213805292,O_Create Offer,2016/01/02 20:43:26.149,User_17,True
49,Offer_213805292,O_Created,2016/01/02 20:43:27.409,User_17,True
50,Offer_213805292,O_Sent (mail and online),2016/01/02 20:45:11.161,User_17,True
51,Offer_213805292,O_Cancelled,2016/02/29 16:00:48.815,User_1,True
52,Offer_1215355195,O_Create Offer,2016/01/02 20:48:58.028,User_38,True
53,Offer_1215355195,O_Created,2016/01/02 20:48:59.193,User_38,True
54,Offer_1215355195,O_Cancelled,2016/01/02 21:42:59.321,User_38,True
55,Offer_1236377933,O_Create Offer,2016/01/02 21:31:00.150,User_3,False
56,Offer_1236377933,O_Created,2016/01/02 21:31:01.388,User_3,False
57,Offer_1236377933,O_Sent (mail and online),2016/01/02 21:31:11.640,User_3,False
58,Offer_1236377933,O_Returned,2016/01/11 17:44:39.240,User_112,False
59,Offer_1236377933,O_Accepted,2016/01/12 21:13:45.145,User_87,False
60,Offer_1560716493,O_Create Offer,2016/01/02 21:50:23.006,User_38,True
61,Offer_1560716493,O_Created,2016/01/02 21:50:24.284,User_38,True
62,Offer_1560716493,O_Sent (mail and online),2016/01/02 21:50:37.195,User_38,True
63,Offer_1560716493,O_Cancelled,2016/01/02 22:41:43.962,User_19,True
64,Offer_868206108,O_Create Offer,2016/01/02 22:38:07.682,User_19,True
65,Offer_868206108,O_Created,2016/01/02 22:38:09.021,User_19,True
66,Offer_868206108,O_Sent (mail and online),2016/01/02 22:41:36.550,User_19,True
67,Offer_868206108,O_Returned,2016/01/08 22:53:08.962,User_119,True
68,Offer_868206108,O_Accepted,2016/01/09 01:05:47.589,User_115,True
69,Offer_467024374,O_Create Offer,2016/01/02 22:38:19.507,User_3,False
70,Offer_467024374,O_Created,2016/01/02 22:38:20.745,User_3,False
71,Offer_467024374,O_Sent (mail and online),2016/01/02 22:38:31.338,User_3,False
72,Offer_467024374,O_Returned,2016/01/08 18:21:27.927,User_113,False
73,Offer_467024374,O_Cancelled,2016/01/10 00:48:53.168,User_27,False
74,Offer_117620760,O_Create Offer,2016/01/02 22:59:59.998,User_3,True
75,Offer_117620760,O_Created,2016/01/02 23:00:01.362,User_3,True
76,Offer_117620760,O_Sent (mail and online),2016/01/02 23:00:19.890,User_3,True
77,Offer_117620760,O_Returned,2016/01/08 19:09:09.540,User_113,True
78,Offer_117620760,O_Refused,2016/01/11 18:30:52.996,User_99,True
79,Offer_1183140970,O_Create Offer,2016/01/02 23:06:26.590,User_38,True
80,Offer_1183140970,O_Created,2016/01/02 23:06:27.942,User_38,True
81,Offer_1183140970,O_Sent (mail and online),2016/01/02 23:06:42.773,User_38,True
82,Offer_1183140970,O_Returned,2016/01/18 17:56:45.841,User_112,True
83,Offer_1183140970,O_Accepted,2016/01/22 16:06:35.309,User_90,True
84,Offer_1534843733,O_Create Offer,2016/01/02 23:41:07.809,User_19,True
85,Offer_1534843733,O_Created,2016/01/02 23:41:09.180,User_19,True
86,Offer_1534843733,O_Sent (mail and online),2016/01/02 23:44:54.594,User_19,True
87,Offer_1534843733,O_Returned,2016/01/11 19:07:25.792,User_118,True
88,Offer_1534843733,O_Accepted,2016/01/22 17:03:30.895,User_119,True
89,Offer_1750007091,O_Create Offer,2016/01/02 23:45:25.611,User_17,True
90,Offer_1750007091,O_Created,2016/01/02 23:45:26.830,User_17,True
91,Offer_1750007091,O_Sent (mail and online),2016/01/02 23:46:43.295,User_17,True
92,Offer_1750007091,O_Cancelled,2016/02/02 16:00:36.975,User_1,True
93,Offer_106103074,O_Create Offer,2016/01/02 23:50:24.235,User_3,True
94,Offer_106103074,O_Created,2016/01/02 23:50:25.676,User_3,True
95,Offer_106103074,O_Cancelled,2016/01/02 23:51:15.041,User_3,True
96,Offer_243419316,O_Create Offer,2016/01/02 23:51:05.869,User_3,True
97,Offer_243419316,O_Created,2016/01/02 23:51:07.288,User_3,True
98,Offer_243419316,O_Sent (mail and online),2016/01/02 23:51:25.546,User_3,True
99,Offer_243419316,O_Cancelled,2016/01/05 01:34:23.202,User_8,True
100,Offer_829153695,O_Create Offer,2016/01/03 00:06:15.693,User_3,True
101,Offer_829153695,O_Created,2016/01/03 00:06:17.078,User_3,True
102,Offer_829153695,O_Sent (mail and online),2016/01/03 00:06:27.153,User_3,True
103,Offer_829153695,O_Cancelled,2016/02/02 16:00:33.780,User_1,True
104,Offer_1047899891,O_Create Offer,2016/01/03 00:17:01.388,User_17,False
105,Offer_1047899891,O_Created,2016/01/03 00:17:02.653,User_17,False
106,Offer_1047899891,O_Sent (mail and online),2016/01/03 00:19:18.037,User_17,False
107,Offer_1047899891,O_Returned,2016/01/11 18:20:06.946,User_112,False
108,Offer_1047899891,O_Cancelled,2016/01/14 23:17:09.978,User_87,False
109,Offer_833160233,O_Create Offer,2016/01/03 00:31:45.711,User_19,True
110,Offer_833160233,O_Created,2016/01/03 00:31:47.001,User_19,True
111,Offer_833160233,O_Sent (mail and online),2016/01/03 00:34:40.607,User_19,True
112,Offer_833160233,O_Returned,2016/01/11 20:00:55.951,User_117,True
113,Offer_833160233,O_Accepted,2016/01/12 21:56:49.596,User_87,True
114,Offer_685676472,O_Create Offer,2016/01/03 00:33:53.848,User_3,True
115,Offer_685676472,O_Created,2016/01/03 00:33:55.123,User_3,True
116,Offer_685676472,O_Sent (mail and online),2016/01/03 00:34:32.546,User_3,True
117,Offer_685676472,O_Cancelled,2016/02/29 16:01:02.434,User_1,True
118,Offer_933028395,O_Create Offer,2016/01/03 00:34:17.443,User_3,True
119,Offer_933028395,O_Created,2016/01/03 00:34:18.823,User_3,True
120,Offer_933028395,O_Sent (mail and online),2016/01/03 00:34:32.544,User_3,True
121,Offer_933028395,O_Cancelled,2016/02/29 16:01:02.425,User_1,True
122,Offer_608733999,O_Create Offer,2016/01/03 00:40:18.270,User_38,True
123,Offer_608733999,O_Created,2016/01/03 00:40:19.582,User_38,True
124,Offer_608733999,O_Sent (mail and online),2016/01/03 00:40:31.055,User_38,True
125,Offer_608733999,O_Cancelled,2016/02/02 16:00:27.791,User_1,True
126,Offer_213718197,O_Create Offer,2016/01/03 00:41:10.746,User_17,True
127,Offer_213718197,O_Created,2016/01/03 00:41:12.040,User_17,True
128,Offer_213718197,O_Sent (mail and online),2016/01/03 00:41:44.277,User_17,True
129,Offer_213718197,O_Returned,2016/01/08 19:43:56.982,User_117,True
130,Offer_213718197,O_Accepted,2016/01/12 01:04:09.561,User_99,True
131,Offer_108214080,O_Create Offer,2016/01/03 00:50:34.334,User_3,True
132,Offer_108214080,O_Created,2016/01/03 00:50:35.636,User_3,True
133,Offer_108214080,O_Sent (mail and online),2016/01/03 00:50:48.565,User_3,True
134,Offer_108214080,O_Cancelled,2016/02/02 16:00:34.753,User_1,True
135,Offer_1967986467,O_Create Offer,2016/01/03 00:52:19.034,User_19,True
136,Offer_1967986467,O_Created,2016/01/03 00:52:20.203,User_19,True
137,Offer_1967986467,O_Sent (mail and online),2016/01/03 00:59:33.633,User_19,True
138,Offer_1967986467,O_Cancelled,2016/02/02 16:00:21.963,User_1,True
139,Offer_1685918507,O_Create Offer,2016/01/04 16:12:49.261,User_75,True
140,Offer_1685918507,O_Created,2016/01/04 16:12:50.665,User_75,True
141,Offer_1685918507,O_Sent (mail and online),2016/01/04 16:13:05.939,User_75,True
142,Offer_1685918507,O_Returned,2016/02/05 17:32:35.262,User_120,True
143,Offer_1685918507,O_Accepted,2016/02/23 00:34:58.255,User_117,True
144,Offer_1335997058,O_Create Offer,2016/01/04 17:10:26.673,User_16,True
145,Offer_1335997058,O_Created,2016/01/04 17:10:28.165,User_16,True
146,Offer_1335997058,O_Sent (mail and online),2016/01/04 17:11:25.538,User_16,True
147,Offer_1335997058,O_Returned,2016/01/14 17:21:28.567,User_113,True
148,Offer_1335997058,O_Accepted,2016/01/14 23:38:04.267,User_115,True
149,Offer_1084399342,O_Create Offer,2016/01/04 17:16:31.991,User_19,True
150,Offer_1084399342,O_Created,2016/01/04 17:16:33.489,User_19,True
151,Offer_1084399342,O_Cancelled,2016/01/04 17:20:42.519,User_19,True
152,Offer_792838244,O_Create Offer,2016/01/04 17:17:42.243,User_43,True
153,Offer_792838244,O_Created,2016/01/04 17:17:43.758,User_43,True
154,Offer_792838244,O_Sent (mail and online),2016/01/04 17:29:34.770,User_43,True
155,Offer_792838244,O_Cancelled,2016/01/08 18:59:40.730,User_8,True
156,Offer_603196958,O_Create Offer,2016/01/04 17:17:48.102,User_89,True
157,Offer_603196958,O_Created,2016/01/04 17:17:49.471,User_89,True
158,Offer_603196958,O_Sent (mail and online),2016/01/04 17:18:10.830,User_89,True
159,Offer_603196958,O_Returned,2016/01/08 17:36:50.809,User_117,True
160,Offer_603196958,O_Refused,2016/01/11 18:39:35.166,User_90,True
161,Offer_866744603,O_Create Offer,2016/01/04 17:29:35.380,User_15,True
162,Offer_866744603,O_Created,2016/01/04 17:29:36.753,User_15,True
163,Offer_866744603,O_Sent (mail and online),2016/01/04 17:30:54.167,User_15,True
164,Offer_866744603,O_Returned,2016/01/13 19:26:28.141,User_116,True
165,Offer_866744603,O_Accepted,2016/01/22 16:55:33.081,User_119,True
166,Offer_476537784,O_Create Offer,2016/01/04 17:30:35.161,User_15,True
167,Offer_476537784,O_Created,2016/01/04 17:30:36.359,User_15,True
168,Offer_476537784,O_Sent (mail and online),2016/01/04 17:30:54.164,User_15,True
169,Offer_476537784,O_Cancelled,2016/01/22 16:55:33.101,User_119,True
170,Offer_1690361215,O_Create Offer,2016/01/04 17:34:17.654,User_38,False
171,Offer_1690361215,O_Created,2016/01/04 17:34:19.000,User_38,False
172,Offer_1690361215,O_Sent (mail and online),2016/01/04 17:34:37.514,User_38,False
173,Offer_1690361215,O_Returned,2016/01/08 18:59:28.754,User_117,False
174,Offer_1690361215,O_Refused,2016/01/11 22:19:39.082,User_95,False
175,Offer_1346286187,O_Create Offer,2016/01/04 17:37:41.013,User_19,True
176,Offer_1346286187,O_Created,2016/01/04 17:37:42.329,User_19,True
177,Offer_1346286187,O_Sent (mail and online),2016/01/04 17:37:55.282,User_19,True
178,Offer_1346286187,O_Returned,2016/01/08 22:26:13.914,User_119,True
179,Offer_1346286187,O_Accepted,2016/01/22 17:46:23.605,User_90,True
180,Offer_2134161297,O_Create Offer,2016/01/04 17:38:31.692,User_16,False
181,Offer_2134161297,O_Created,2016/01/04 17:38:33.015,User_16,False
182,Offer_2134161297,O_Sent (mail and online),2016/01/04 17:39:04.205,User_16,False
183,Offer_2134161297,O_Returned,2016/01/25 21:44:11.695,User_118,False
184,Offer_2134161297,O_Refused,2016/01/26 21:12:52.803,User_75,False
185,Offer_2004924770,O_Create Offer,2016/01/04 17:42:28.010,User_28,False
186,Offer_2004924770,O_Created,2016/01/04 17:42:29.585,User_28,False
187,Offer_2004924770,O_Sent (mail and online),2016/01/04 17:43:45.635,User_28,False
188,Offer_2004924770,O_Cancelled,2016/02/02 04:18:40.303,User_20,False
189,Offer_2100546231,O_Create Offer,2016/01/04 17:42:50.365,User_28,True
190,Offer_2100546231,O_Created,2016/01/04 17:42:51.707,User_28,True
191,Offer_2100546231,O_Sent (mail and online),2016/01/04 17:43:45.620,User_28,True
192,Offer_2100546231,O_Cancelled,2016/02/02 04:18:40.294,User_20,True
193,Offer_1373030331,O_Create Offer,2016/01/04 17:49:22.376,User_7,False
194,Offer_1373030331,O_Created,2016/01/04 17:49:23.646,User_7,False
195,Offer_1373030331,O_Cancelled,2016/01/11 19:34:36.603,User_95,False
196,Offer_1562601661,O_Create Offer,2016/01/04 17:53:16.830,User_19,False
197,Offer_1562601661,O_Created,2016/01/04 17:53:18.030,User_19,False
198,Offer_1562601661,O_Sent (mail and online),2016/01/04 17:55:52.384,User_19,False
199,Offer_1562601661,O_Cancelled,2016/01/07 22:32:04.371,User_112,False
200,Offer_1026878545,O_Create Offer,2016/01/04 17:53:33.302,User_7,False
201,Offer_1026878545,O_Created,2016/01/04 17:53:34.622,User_7,False
202,Offer_1026878545,O_Sent (mail and online),2016/01/04 17:53:48.047,User_7,False
203,Offer_1026878545,O_Returned,2016/01/08 21:59:28.035,User_119,False
204,Offer_1026878545,O_Accepted,2016/01/11 19:34:36.587,User_95,False
205,Offer_1713418619,O_Create Offer,2016/01/04 17:58:16.573,User_16,True
206,Offer_1713418619,O_Created,2016/01/04 17:58:17.935,User_16,True
207,Offer_1713418619,O_Refused,2016/01/12 20:00:35.427,User_75,True
208,Offer_1658433857,O_Create Offer,2016/01/04 17:58:49.379,User_2,True
209,Offer_1658433857,O_Created,2016/01/04 17:58:50.717,User_2,True
210,Offer_1658433857,O_Sent (mail and online),2016/01/04 18:02:17.272,User_2,True
211,Offer_1658433857,O_Cancelled,2016/02/29 16:03:05.333,User_1,True
212,Offer_207015621,O_Create Offer,2016/01/04 17:59:06.630,User_16,True
213,Offer_207015621,O_Created,2016/01/04 17:59:07.951,User_16,True
214,Offer_207015621,O_Sent (mail and online),2016/01/04 17:59:52.439,User_16,True
215,Offer_207015621,O_Returned,2016/01/08 16:26:10.670,User_113,True
216,Offer_207015621,O_Refused,2016/01/12 20:00:35.418,User_75,True
217,Offer_829342969,O_Create Offer,2016/01/04 18:01:49.261,User_38,True
218,Offer_829342969,O_Created,2016/01/04 18:01:50.603,User_38,True
219,Offer_829342969,O_Sent (mail and online),2016/01/04 18:02:07.149,User_38,True
220,Offer_829342969,O_Returned,2016/01/13 17:28:52.987,User_116,True
221,Offer_829342969,O_Accepted,2016/01/13 21:28:00.512,User_95,True
222,Offer_1383197782,O_Create Offer,2016/01/04 18:02:18.659,User_7,True
223,Offer_1383197782,O_Created,2016/01/04 18:02:19.903,User_7,True
224,Offer_1383197782,O_Sent (mail and online),2016/01/04 18:07:00.627,User_7,True
225,Offer_1383197782,O_Returned,2016/01/14 20:10:46.608,User_112,True
226,Offer_1383197782,O_Accepted,2016/01/19 16:49:55.960,User_90,True
227,Offer_1562802810,O_Create Offer,2016/01/04 18:04:44.090,User_28,True
228,Offer_1562802810,O_Created,2016/01/04 18:04:45.315,User_28,True
229,Offer_1562802810,O_Sent (mail and online),2016/01/04 18:05:30.428,User_28,True
230,Offer_1562802810,O_Cancelled,2016/02/29 16:01:20.466,User_1,True
231,Offer_1959589862,O_Create Offer,2016/01/04 18:06:59.909,User_3,False
232,Offer_1959589862,O_Created,2016/01/04 18:07:01.261,User_3,False
233,Offer_1959589862,O_Sent (mail and online),2016/01/04 18:07:20.704,User_3,False
234,Offer_1959589862,O_Returned,2016/01/08 17:37:46.398,User_119,False
235,Offer_1959589862,O_Accepted,2016/01/27 22:48:32.037,User_99,False
236,Offer_1711038072,O_Create Offer,2016/01/04 18:10:15.387,User_20,True
237,Offer_1711038072,O_Created,2016/01/04 18:10:16.626,User_20,True
238,Offer_1711038072,O_Sent (mail and online),2016/01/04 18:10:34.242,User_20,True
239,Offer_1711038072,O_Returned,2016/01/14 00:32:27.545,User_117,True
240,Offer_1711038072,O_Accepted,2016/01/22 16:51:20.551,User_119,True
241,Offer_1647711220,O_Create Offer,2016/01/04 18:17:58.657,User_16,False
242,Offer_1647711220,O_Created,2016/01/04 18:17:59.908,User_16,False
243,Offer_1647711220,O_Sent (mail and online),2016/01/04 18:18:35.535,User_16,False
244,Offer_1647711220,O_Returned,2016/01/08 17:54:43.008,User_116,False
245,Offer_1647711220,O_Accepted,2016/01/11 19:35:23.639,User_30,False
246,Offer_1264698473,O_Create Offer,2016/01/04 18:24:12.128,User_75,True
247,Offer_1264698473,O_Created,2016/01/04 18:24:13.433,User_75,True
248,Offer_1264698473,O_Sent (mail and online),2016/01/04 18:24:41.360,User_75,True
249,Offer_1264698473,O_Returned,2016/01/04 18:25:14.926,User_75,True
250,Offer_1264698473,O_Cancelled,2016/02/01 17:19:34.805,User_2,True
251,Offer_1525129982,O_Create Offer,2016/01/04 18:25:40.512,User_28,True
252,Offer_1525129982,O_Created,2016/01/04 18:25:41.799,User_28,True
253,Offer_1525129982,O_Sent (mail and online),2016/01/04 18:25:52.775,User_28,True
254,Offer_1525129982,O_Returned,2016/01/15 20:56:17.379,User_114,True
255,Offer_1525129982,O_Accepted,2016/01/15 23:04:14.106,User_115,True
256,Offer_1747811596,O_Create Offer,2016/01/04 18:26:32.945,User_43,True
